"10022","CRUSTACEANS","LOBSTERS","Crustacés"
"37034","DOGS","","Chiens"
"37034","WILD/MISCELLANEOUS","LABORATORY ANIMALS","Sauvage/Divers"
"37034","WILD/MISCELLANEOUS","MINK","Sauvage/Divers"
"37179","DOG OR CAT","","Chien Ou Chat"
"37179","HORSES","","Cheveaux"
"37179","SWINE (PIGS)","","Porcs"
"37199","HORSES","","Cheveaux"
"3722","CATTLE","","Bétails"
"3722","DOG OR CAT","","Chien Ou Chat"
"3722","HORSES","","Cheveaux"
"3722","LAMBS","",""
"3722","SWINE (PIGS)","","Porcs"
"37235","CATS","","Chats"
"37235","DOGS","","Chiens"
"37256","POULTRY","CHICKENS","Volaille"
"37256","POULTRY","TURKEYS","Volaille"
"37256","SWINE (PIGS)","","Porcs"
"37311","CATTLE","","Bétails"
"37311","GOATS","","Chèvres"
"37311","HORSES","","Cheveaux"
"37311","SHEEP","","Mouton"
"37311","SWINE (PIGS)","","Porcs"
"37341","CATTLE","","Bétails"
"37341","SHEEP","","Mouton"
"37347","CATTLE","CALVES","Bétails"
"37422","HORSES","","Cheveaux"
"37422","POULTRY","CHICKENS","Volaille"
"37422","POULTRY","TURKEYS","Volaille"
"37422","SWINE (PIGS)","","Porcs"
"3755","CATTLE","","Bétails"
"3755","DOG OR CAT","","Chien Ou Chat"
"3755","HORSES","","Cheveaux"
"3755","POULTRY","","Volaille"
"3755","SHEEP","","Mouton"
"3755","SWINE (PIGS)","","Porcs"
"37580","CATTLE","CALVES","Bétails"
"37581","DOG OR CAT","","Chien Ou Chat"
"378","CATS","","Chats"
"378","DOGS","","Chiens"
"378","WILD/MISCELLANEOUS","","Sauvage/Divers"
"3831","POULTRY","","Volaille"
"3845","HORSES","","Cheveaux"
"3854","HORSES","","Cheveaux"
"3864","CATTLE","COWS-DRY","Bétails"
"3888","CATTLE","","Bétails"
"3888","HORSES","","Cheveaux"
"3888","SHEEP","","Mouton"
"3911","HORSES","","Cheveaux"
"3936","CATTLE","","Bétails"
"3936","DOG OR CAT","","Chien Ou Chat"
"3936","HORSES","","Cheveaux"
"3937","DOG OR CAT","","Chien Ou Chat"
"3938","DOG OR CAT","","Chien Ou Chat"
"3939","CATTLE","","Bétails"
"3939","DOGS","","Chiens"
"3939","SHEEP","LAMB","Mouton"
"3940","CATTLE","COWS-LACTATING","Bétails"
"3940","DOG OR CAT","","Chien Ou Chat"
"3940","HORSES","","Cheveaux"
"3942","CATS","","Chats"
"3971","CATTLE","","Bétails"
"3971","DOG OR CAT","","Chien Ou Chat"
"3971","HORSES","","Cheveaux"
"3972","CATTLE","","Bétails"
"3972","DOG OR CAT","","Chien Ou Chat"
"3972","HORSES","","Cheveaux"
"3973","CATS","","Chats"
"3973","DOGS","","Chiens"
"3973","HORSES","","Cheveaux"
"3974","CATS","","Chats"
"3974","DOGS","","Chiens"
"3974","HORSES","","Cheveaux"
"3976","CATS","","Chats"
"3976","DOGS","","Chiens"
"3980","BIRDS","","Oiseaux"
"3981","BIRDS","","Oiseaux"
"3982","BIRDS","","Oiseaux"
"3983","BIRDS","","Oiseaux"
"3984","BIRDS","","Oiseaux"
"3985","BIRDS","","Oiseaux"
"3986","GENERAL - MISC.","","Général-Misc"
"3987","GENERAL - MISC.","","Général-Misc"
"3987","SWINE (PIGS)","","Porcs"
"3988","GENERAL - MISC.","","Général-Misc"
"4003","CATS","","Chats"
"4003","DOGS","","Chiens"
"4004","CATS","","Chats"
"4004","DOGS","","Chiens"
"4005","CATS","","Chats"
"4005","DOGS","","Chiens"
"4026","CATTLE","","Bétails"
"4026","HORSES","","Cheveaux"
"40360","SWINE (PIGS)","PIGLETS","Porcs"
"4059","CATS","","Chats"
"4059","CATTLE","","Bétails"
"4059","DOGS","","Chiens"
"4059","HORSES","","Cheveaux"
"4059","SWINE (PIGS)","","Porcs"
"4061","CATS","","Chats"
"4061","DOGS","","Chiens"
"4067","CATTLE","DAIRY CATTLE","Bétails"
"4079","HORSES","","Cheveaux"
"4081","HORSES","","Cheveaux"
"4082","SWINE (PIGS)","PIGLETS","Porcs"
"4084","FISH","","Poissons"
"4085","FISH","","Poissons"
"4086","FISH","","Poissons"
"4089","BEES","","Abeilles"
"4089","CATTLE","","Bétails"
"4089","CHINCHILLA, MINK","","Chinchilla, Vison"
"4089","POULTRY","","Volaille"
"4089","SHEEP","","Mouton"
"4089","SWINE (PIGS)","","Porcs"
"4095","CATS","","Chats"
"4095","CATTLE","","Bétails"
"4095","DOGS","","Chiens"
"4095","HORSES","","Cheveaux"
"4096","CATTLE","","Bétails"
"4096","HORSES","","Cheveaux"
"4097","DOGS","","Chiens"
"4097","HORSES","","Cheveaux"
"4097","WILD/MISCELLANEOUS","","Sauvage/Divers"
"4098","HORSES","","Cheveaux"
"4099","HORSES","","Cheveaux"
"4100","WILD/MISCELLANEOUS","CHINCHILLA","Sauvage/Divers"
"4100","WILD/MISCELLANEOUS","GUINEA PIGS","Sauvage/Divers"
"4100","WILD/MISCELLANEOUS","MINK","Sauvage/Divers"
"4100","WILD/MISCELLANEOUS","PRIMATES (NON-HUMAN)","Sauvage/Divers"
"4101","CATS","","Chats"
"4101","CATTLE","","Bétails"
"4101","DOGS","","Chiens"
"4101","HORSES","FOALS","Cheveaux"
"4101","SHEEP","LAMB","Mouton"
"4101","SWINE (PIGS)","","Porcs"
"4102","CATTLE","","Bétails"
"4102","HORSES","","Cheveaux"
"4108","CATTLE","DAIRY CATTLE","Bétails"
"4155","POULTRY","BROILER TURKEYS","Volaille"
"4155","SWINE (PIGS)","PIGLETS","Porcs"
"4171","CATS","","Chats"
"4171","DOGS","","Chiens"
"4171","HORSES","","Cheveaux"
"4215","CATTLE","CALVES","Bétails"
"4215","POULTRY","","Volaille"
"4215","SWINE (PIGS)","","Porcs"
"4242","HORSES","","Cheveaux"
"4248","BIRDS","","Oiseaux"
"4249","CATTLE","","Bétails"
"4249","GOATS","","Chèvres"
"4249","SHEEP","","Mouton"
"42850","DOGS","","Chiens"
"42851","DOGS","","Chiens"
"42852","DOGS","","Chiens"
"42855","CATS","","Chats"
"42855","DOGS","","Chiens"
"42858","CATTLE","","Bétails"
"42858","SHEEP","","Mouton"
"42858","SWINE (PIGS)","","Porcs"
"42859","CATS","","Chats"
"42859","DOGS","","Chiens"
"42860","CATTLE","","Bétails"
"42860","SWINE (PIGS)","","Porcs"
"4288","CATTLE","","Bétails"
"4288","DOG OR CAT","","Chien Ou Chat"
"4288","HORSES","","Cheveaux"
"4288","SHEEP","","Mouton"
"4288","SWINE (PIGS)","","Porcs"
"42937","HORSES","","Cheveaux"
"42938","CATTLE","","Bétails"
"42947","CATS","","Chats"
"42947","DOGS","","Chiens"
"42954","CATTLE","","Bétails"
"42956","SHEEP","","Mouton"
"4296","CATTLE","","Bétails"
"4296","GOATS","","Chèvres"
"4296","HORSES","","Cheveaux"
"4296","SHEEP","","Mouton"
"4296","SWINE (PIGS)","","Porcs"
"4296","WILD/MISCELLANEOUS","","Sauvage/Divers"
"42975","CATTLE","","Bétails"
"42975","POULTRY","CHICKENS","Volaille"
"42975","SHEEP","","Mouton"
"42975","SWINE (PIGS)","","Porcs"
"42976","SWINE (PIGS)","","Porcs"
"42977","CATTLE","","Bétails"
"42977","GOATS","","Chèvres"
"42977","SHEEP","","Mouton"
"42977","SWINE (PIGS)","","Porcs"
"4298","DOG OR CAT","","Chien Ou Chat"
"4298","HORSES","","Cheveaux"
"42993","CATTLE","","Bétails"
"42993","GOATS","","Chèvres"
"42993","SHEEP","","Mouton"
"42993","SWINE (PIGS)","","Porcs"
"42995","CATTLE","","Bétails"
"42995","SWINE (PIGS)","","Porcs"
"4300","DOG OR CAT","","Chien Ou Chat"
"43016","HORSES","","Cheveaux"
"43168","CATTLE","BEEF CATTLE","Bétails"
"43187","CATS","","Chats"
"43188","CATS","","Chats"
"43257","CATTLE","","Bétails"
"43328","DOGS","","Chiens"
"43376","HORSES","","Cheveaux"
"43398","CATTLE","FEEDLOT STEERS","Bétails"
"43399","SWINE (PIGS)","","Porcs"
"43421","SWINE (PIGS)","","Porcs"
"43450","HORSES","","Cheveaux"
"43451","HORSES","","Cheveaux"
"43483","CATS","","Chats"
"43483","CATTLE","","Bétails"
"43483","DOGS","","Chiens"
"43483","HORSES","","Cheveaux"
"43488","CATTLE","BEEF CATTLE","Bétails"
"43488","CATTLE","DAIRY CATTLE","Bétails"
"435","SWINE (PIGS)","","Porcs"
"436","CATTLE","","Bétails"
"436","DOG OR CAT","","Chien Ou Chat"
"436","HORSES","","Cheveaux"
"436","POULTRY","","Volaille"
"436","SHEEP","","Mouton"
"436","SWINE (PIGS)","","Porcs"
"43601","CATTLE","COWS-LACTATING","Bétails"
"43628","HORSES","","Cheveaux"
"437","CATS","","Chats"
"437","CATTLE","BEEF HEIFERS","Bétails"
"437","CATTLE","DAIRY CATTLE","Bétails"
"437","DOGS","","Chiens"
"437","HORSES","","Cheveaux"
"437","SHEEP","LAMB","Mouton"
"437","SWINE (PIGS)","SOWS","Porcs"
"43774","HORSES","","Cheveaux"
"438","DOGS","","Chiens"
"438","HORSES","","Cheveaux"
"439","POULTRY","","Volaille"
"439","SWINE (PIGS)","","Porcs"
"4391","CATS","","Chats"
"4391","CATTLE","","Bétails"
"4391","DOGS","","Chiens"
"4391","HORSES","","Cheveaux"
"43922","HORSES","","Cheveaux"
"4395","CATS","","Chats"
"4395","CATTLE","COWS-LACTATING","Bétails"
"4395","DOGS","","Chiens"
"4395","HORSES","","Cheveaux"
"4395","SHEEP","LAMB","Mouton"
"4395","SWINE (PIGS)","","Porcs"
"4395","WILD/MISCELLANEOUS","FOXES","Sauvage/Divers"
"4395","WILD/MISCELLANEOUS","MINK","Sauvage/Divers"
"4395","WILD/MISCELLANEOUS","RABBITS","Sauvage/Divers"
"43983","CATS","","Chats"
"43983","DOGS","","Chiens"
"43984","DOGS","","Chiens"
"43985","CATS","","Chats"
"43985","DOGS","","Chiens"
"43986","FINFISH","SALMONIDS","Poisson À Nageoires"
"43989","SWINE (PIGS)","","Porcs"
"43991","CATTLE","CALVES","Bétails"
"44010","DOGS","","Chiens"
"44011","DOGS","","Chiens"
"44012","DOGS","","Chiens"
"44018","DOGS","","Chiens"
"44018","HORSES","","Cheveaux"
"44128","HORSES","","Cheveaux"
"44131","POULTRY","","Volaille"
"44138","CATTLE","BEEF CATTLE","Bétails"
"44138","CATTLE","BEEF HEIFERS","Bétails"
"44138","CATTLE","BULLS","Bétails"
"44138","CATTLE","CALVES","Bétails"
"44138","CATTLE","COWS-DRY","Bétails"
"44139","HORSES","","Cheveaux"
"44140","DOGS","","Chiens"
"44141","CATS","","Chats"
"44141","DOGS","","Chiens"
"44144","CATTLE","","Bétails"
"44175","POULTRY","TURKEYS","Volaille"
"44176","CATTLE","COWS-DRY","Bétails"
"44176","CATTLE","COWS-LACTATING","Bétails"
"44177","CATTLE","","Bétails"
"44178","BIRDS","","Oiseaux"
"44179","CATTLE","","Bétails"
"44179","POULTRY","CHICKENS","Volaille"
"44179","POULTRY","TURKEYS","Volaille"
"44179","SHEEP","","Mouton"
"44179","SWINE (PIGS)","","Porcs"
"44180","CATTLE","","Bétails"
"44180","SHEEP","","Mouton"
"44180","SWINE (PIGS)","","Porcs"
"44181","CATTLE","COWS-DRY","Bétails"
"44181","CATTLE","COWS-LACTATING","Bétails"
"44182","CATTLE","","Bétails"
"44182","SHEEP","","Mouton"
"44182","SWINE (PIGS)","","Porcs"
"44200","POULTRY","BROILER CHICKENS","Volaille"
"44200","POULTRY","TURKEYS","Volaille"
"44200","SWINE (PIGS)","","Porcs"
"44201","SWINE (PIGS)","","Porcs"
"44202","POULTRY","BROILER CHICKENS","Volaille"
"44254","HORSES","","Cheveaux"
"4448","DOG OR CAT","","Chien Ou Chat"
"44854","CATTLE","","Bétails"
"44854","HORSES","","Cheveaux"
"44854","SHEEP","","Mouton"
"4506","HORSES","","Cheveaux"
"4507","HORSES","","Cheveaux"
"4508","HORSES","","Cheveaux"
"451","DOG OR CAT","","Chien Ou Chat"
"4518","CATS","","Chats"
"452","DOG OR CAT","","Chien Ou Chat"
"453","DOG OR CAT","","Chien Ou Chat"
"454","DOG OR CAT","","Chien Ou Chat"
"454","HORSES","","Cheveaux"
"455","POULTRY","","Volaille"
"455","SWINE (PIGS)","","Porcs"
"456","POULTRY","","Volaille"
"456","SWINE (PIGS)","","Porcs"
"4598","CATS","","Chats"
"4598","CATTLE","BEEF HEIFERS","Bétails"
"4598","CATTLE","DAIRY CATTLE","Bétails"
"4598","DOGS","","Chiens"
"4598","HORSES","","Cheveaux"
"4598","POULTRY","CHICKENS","Volaille"
"4598","POULTRY","TURKEYS","Volaille"
"4598","SWINE (PIGS)","PIGLETS","Porcs"
"46027","HORSES","","Cheveaux"
"4644","CATTLE","","Bétails"
"465","BIRDS","COMPANION BIRDS","Oiseaux"
"465","CATS","","Chats"
"465","DOGS","","Chiens"
"4670","CATTLE","","Bétails"
"46757","POULTRY","BROILER CHICKENS","Volaille"
"46757","POULTRY","TURKEYS","Volaille"
"4680","CATTLE","","Bétails"
"4681","POULTRY","CHICKENS","Volaille"
"4681","POULTRY","TURKEYS","Volaille"
"4694","DOGS","","Chiens"
"4696","CATS","","Chats"
"4696","CATTLE","","Bétails"
"4696","DOGS","","Chiens"
"4696","GOATS","","Chèvres"
"4696","HORSES","","Cheveaux"
"4696","SHEEP","","Mouton"
"4696","SWINE (PIGS)","","Porcs"
"4696","WILD/MISCELLANEOUS","","Sauvage/Divers"
"46971","CATTLE","","Bétails"
"46971","SWINE (PIGS)","","Porcs"
"4701","DOG OR CAT","","Chien Ou Chat"
"4702","DOG OR CAT","","Chien Ou Chat"
"47356","HORSES","","Cheveaux"
"47375","CATS","","Chats"
"47375","DOGS","","Chiens"
"47383","CATTLE","","Bétails"
"47383","HORSES","","Cheveaux"
"47384","CATTLE","","Bétails"
"47384","HORSES","","Cheveaux"
"47458","DOGS","","Chiens"
"47459","DOGS","","Chiens"
"4746","HORSES","","Cheveaux"
"47460","DOGS","","Chiens"
"47462","DOGS","","Chiens"
"4747","HORSES","","Cheveaux"
"4748","CATTLE","","Bétails"
"476","SWINE (PIGS)","","Porcs"
"4767","CATTLE","","Bétails"
"4767","CHINCHILLA, MINK","","Chinchilla, Vison"
"4767","POULTRY","","Volaille"
"4767","SHEEP","","Mouton"
"4767","SWINE (PIGS)","","Porcs"
"4769","CATTLE","","Bétails"
"4769","SHEEP","","Mouton"
"4769","SWINE (PIGS)","","Porcs"
"477","SWINE (PIGS)","","Porcs"
"4778","CATTLE","","Bétails"
"4779","CATTLE","","Bétails"
"478","POULTRY","","Volaille"
"4789","BIRDS","COMPANION BIRDS","Oiseaux"
"4789","CATTLE","","Bétails"
"4789","GOATS","","Chèvres"
"4789","HORSES","","Cheveaux"
"4789","POULTRY","","Volaille"
"4789","SHEEP","","Mouton"
"4789","SWINE (PIGS)","","Porcs"
"4789","WILD/MISCELLANEOUS","","Sauvage/Divers"
"479","CATTLE","CALVES","Bétails"
"4800","CATS","","Chats"
"4800","DOGS","","Chiens"
"4807","GENERAL - MISC.","","Général-Misc"
"4808","CATTLE","CALVES","Bétails"
"4808","POULTRY","BREEDER CHICKENS","Volaille"
"4808","POULTRY","BROILER CHICKENS","Volaille"
"4808","POULTRY","REPLACEMENT CHICKENS","Volaille"
"4808","POULTRY","TURKEYS","Volaille"
"4808","SWINE (PIGS)","","Porcs"
"4809","POULTRY","CHICKENS","Volaille"
"4809","POULTRY","TURKEYS","Volaille"
"4809","SWINE (PIGS)","","Porcs"
"4810","CATTLE","CALVES","Bétails"
"4810","POULTRY","CHICKENS","Volaille"
"4810","POULTRY","TURKEYS","Volaille"
"4810","SHEEP","","Mouton"
"4810","SWINE (PIGS)","","Porcs"
"4811","CATTLE","CALVES","Bétails"
"4811","POULTRY","CHICKENS","Volaille"
"4811","POULTRY","TURKEYS","Volaille"
"4811","SWINE (PIGS)","","Porcs"
"4812","GENERAL - MISC.","","Général-Misc"
"48133","CATTLE","","Bétails"
"48436","DOGS","","Chiens"
"48437","DOGS","","Chiens"
"4851","HORSES","","Cheveaux"
"4851","POULTRY","","Volaille"
"4851","SWINE (PIGS)","","Porcs"
"4852","HORSES","","Cheveaux"
"4864","CATTLE","","Bétails"
"4864","SHEEP","","Mouton"
"4864","SWINE (PIGS)","","Porcs"
"4865","POULTRY","CHICKENS","Volaille"
"4866","CATTLE","COWS-DRY","Bétails"
"4866","CATTLE","COWS-LACTATING","Bétails"
"4876","POULTRY","CHICKENS","Volaille"
"4876","POULTRY","TURKEYS","Volaille"
"4878","CATTLE","","Bétails"
"4879","CATTLE","","Bétails"
"4879","SHEEP","","Mouton"
"4879","SWINE (PIGS)","","Porcs"
"4880","CATS","","Chats"
"4880","CATTLE","","Bétails"
"4880","DOGS","","Chiens"
"4880","SWINE (PIGS)","","Porcs"
"4881","CATS","","Chats"
"4881","CATTLE","","Bétails"
"4881","DOGS","","Chiens"
"4881","HORSES","","Cheveaux"
"4882","CATS","","Chats"
"4882","DOGS","","Chiens"
"48860","HORSES","","Cheveaux"
"4890","POULTRY","","Volaille"
"48974","HORSES","","Cheveaux"
"4904","CATTLE","","Bétails"
"4905","CATTLE","","Bétails"
"49053","DOGS","","Chiens"
"49053","HORSES","","Cheveaux"
"49054","CATS","","Chats"
"49054","CATTLE","COWS-DRY","Bétails"
"49054","CATTLE","COWS-LACTATING","Bétails"
"49054","DOGS","","Chiens"
"49054","HORSES","","Cheveaux"
"49054","SHEEP","EWES","Mouton"
"49054","SWINE (PIGS)","SOWS","Porcs"
"4906","CATTLE","DAIRY CATTLE","Bétails"
"4907","CATTLE","DAIRY CATTLE","Bétails"
"4911","CATTLE","","Bétails"
"4911","DOG OR CAT","","Chien Ou Chat"
"4911","HORSES","","Cheveaux"
"4911","SWINE (PIGS)","","Porcs"
"4944","CATTLE","","Bétails"
"49557","CATTLE","DAIRY CATTLE","Bétails"
"49592","POULTRY","CHICKENS","Volaille"
"49592","POULTRY","TURKEYS","Volaille"
"4984","CATTLE","","Bétails"
"4984","DOGS","","Chiens"
"4984","HORSES","","Cheveaux"
"4984","SWINE (PIGS)","","Porcs"
"4985","DOGS","","Chiens"
"4985","HORSES","","Cheveaux"
"4986","DOGS","","Chiens"
"4986","HORSES","","Cheveaux"
"49911","CATTLE","","Bétails"
"49911","HORSES","","Cheveaux"
"49919","CATS","","Chats"
"49981","POULTRY","BROILER CHICKENS","Volaille"
"49981","POULTRY","BROILER TURKEYS","Volaille"
"49981","SWINE (PIGS)","","Porcs"
"49982","SWINE (PIGS)","","Porcs"
"49983","SWINE (PIGS)","","Porcs"
"49984","CATTLE","","Bétails"
"49984","POULTRY","","Volaille"
"49984","SWINE (PIGS)","","Porcs"
"49985","CATTLE","","Bétails"
"49985","POULTRY","","Volaille"
"49985","SWINE (PIGS)","","Porcs"
"50040","POULTRY","","Volaille"
"50041","POULTRY","","Volaille"
"50076","CATTLE","","Bétails"
"5012","HORSES","","Cheveaux"
"5032","CATS","","Chats"
"5032","DOGS","","Chiens"
"5033","CATTLE","","Bétails"
"5033","POULTRY","","Volaille"
"5033","SHEEP","","Mouton"
"5033","SWINE (PIGS)","","Porcs"
"5038","GENERAL - MISC.","","Général-Misc"
"50391","CATTLE","","Bétails"
"50391","POULTRY","","Volaille"
"50393","CATTLE","DAIRY CATTLE","Bétails"
"50416","CATTLE","","Bétails"
"50416","SWINE (PIGS)","","Porcs"
"50417","BEES","","Abeilles"
"50425","DOGS","","Chiens"
"5053","CATTLE","BEEF HEIFERS","Bétails"
"5053","CATTLE","DAIRY CATTLE","Bétails"
"5053","WILD/MISCELLANEOUS","","Sauvage/Divers"
"5054","CATS","","Chats"
"5054","DOGS","","Chiens"
"50586","DOGS","","Chiens"
"5060","CATTLE","BEEF CATTLE","Bétails"
"5060","CATTLE","CALVES","Bétails"
"5060","CATTLE","COWS-DRY","Bétails"
"5060","CATTLE","REPLACEMENT HEIFERS","Bétails"
"5060","SHEEP","","Mouton"
"5060","SWINE (PIGS)","PIGLETS","Porcs"
"50692","HORSES","","Cheveaux"
"50762","DOGS","","Chiens"
"50763","DOGS","","Chiens"
"50764","DOGS","","Chiens"
"5083","CATTLE","","Bétails"
"5083","HORSES","","Cheveaux"
"5083","POULTRY","","Volaille"
"5083","SHEEP","LAMB","Mouton"
"5083","SWINE (PIGS)","","Porcs"
"5084","CATS","","Chats"
"5084","CATTLE","","Bétails"
"5084","DOGS","","Chiens"
"5084","HORSES","","Cheveaux"
"5084","POULTRY","","Volaille"
"5084","SHEEP","LAMB","Mouton"
"5084","SWINE (PIGS)","","Porcs"
"50957","DOGS","","Chiens"
"51033","CATTLE","DAIRY CATTLE","Bétails"
"51048","CATTLE","","Bétails"
"51048","SWINE (PIGS)","","Porcs"
"5111","POULTRY","","Volaille"
"5111","SWINE (PIGS)","","Porcs"
"5113","POULTRY","","Volaille"
"5114","CATTLE","","Bétails"
"5114","HORSES","","Cheveaux"
"5114","SHEEP","","Mouton"
"5114","SWINE (PIGS)","","Porcs"
"51150","HORSES","","Cheveaux"
"5126","CATTLE","","Bétails"
"5126","SHEEP","","Mouton"
"5127","CATTLE","","Bétails"
"5127","SWINE (PIGS)","SOWS","Porcs"
"5142","POULTRY","","Volaille"
"5145","SWINE (PIGS)","","Porcs"
"5146","POULTRY","","Volaille"
"5147","CATTLE","","Bétails"
"5147","SHEEP","","Mouton"
"5148","CATTLE","","Bétails"
"5148","SHEEP","","Mouton"
"5148","SWINE (PIGS)","","Porcs"
"515","DOGS","","Chiens"
"516","GENERAL - MISC.","","Général-Misc"
"519","SWINE (PIGS)","PIGLETS","Porcs"
"5194","CATTLE","","Bétails"
"5194","POULTRY","CHICKENS","Volaille"
"5194","POULTRY","TURKEYS","Volaille"
"5194","SHEEP","LAMB","Mouton"
"5194","SWINE (PIGS)","","Porcs"
"5212","CATS","","Chats"
"5212","DOGS","","Chiens"
"5224","DOG OR CAT","","Chien Ou Chat"
"5224","HORSES","","Cheveaux"
"5225","DOG OR CAT","","Chien Ou Chat"
"5226","DOG OR CAT","","Chien Ou Chat"
"5227","CATS","","Chats"
"5227","DOGS","","Chiens"
"5227","HORSES","","Cheveaux"
"5227","WILD/MISCELLANEOUS","","Sauvage/Divers"
"5247","GENERAL - MISC.","","Général-Misc"
"525","DOG OR CAT","","Chien Ou Chat"
"5250","DOG OR CAT","","Chien Ou Chat"
"52516","HORSES","","Cheveaux"
"526","BIRDS","","Oiseaux"
"527","DOG OR CAT","","Chien Ou Chat"
"528","DOG OR CAT","","Chien Ou Chat"
"5281","BIRDS","","Oiseaux"
"5281","CATTLE","","Bétails"
"5281","HORSES","","Cheveaux"
"5281","POULTRY","CHICKENS","Volaille"
"5281","POULTRY","TURKEYS","Volaille"
"5281","SHEEP","LAMB","Mouton"
"5281","SWINE (PIGS)","","Porcs"
"5286","CATTLE","","Bétails"
"5286","GOATS","","Chèvres"
"5286","HORSES","","Cheveaux"
"5286","POULTRY","","Volaille"
"5286","SHEEP","","Mouton"
"5286","SWINE (PIGS)","","Porcs"
"533","CATS","","Chats"
"533","DOGS","","Chiens"
"533","WILD/MISCELLANEOUS","","Sauvage/Divers"
"5335","SWINE (PIGS)","PIGLETS","Porcs"
"5338","CATTLE","","Bétails"
"5338","HORSES","","Cheveaux"
"5338","POULTRY","CHICKENS","Volaille"
"5338","POULTRY","TURKEYS","Volaille"
"5338","SWINE (PIGS)","","Porcs"
"5341","CATTLE","","Bétails"
"5341","HORSES","","Cheveaux"
"5341","SHEEP","","Mouton"
"5342","HORSES","","Cheveaux"
"5343","HORSES","","Cheveaux"
"5346","CATTLE","","Bétails"
"5346","HORSES","","Cheveaux"
"5346","SHEEP","LAMB","Mouton"
"5347","CATS","","Chats"
"5347","CATTLE","","Bétails"
"5347","DOGS","","Chiens"
"5347","HORSES","","Cheveaux"
"5347","SHEEP","","Mouton"
"5347","SWINE (PIGS)","","Porcs"
"5347","WILD/MISCELLANEOUS","","Sauvage/Divers"
"5348","CATTLE","DAIRY CATTLE","Bétails"
"5353","DOGS","","Chiens"
"5353","HORSES","","Cheveaux"
"5355","DOG OR CAT","","Chien Ou Chat"
"5374","CATS","","Chats"
"5375","CATS","","Chats"
"5375","CATTLE","COWS-LACTATING","Bétails"
"5375","DOGS","","Chiens"
"5375","HORSES","","Cheveaux"
"5375","SHEEP","LAMB","Mouton"
"5375","SWINE (PIGS)","","Porcs"
"5376","CATTLE","","Bétails"
"5378","CATS","","Chats"
"5378","CATTLE","","Bétails"
"5378","DOGS","","Chiens"
"5378","HORSES","","Cheveaux"
"5379","DOGS","","Chiens"
"5380","BIRDS","","Oiseaux"
"5380","CATS","","Chats"
"5380","CATTLE","","Bétails"
"5380","DOGS","","Chiens"
"5380","HORSES","","Cheveaux"
"5380","LABORATORY ANIMALS","","Animaux de laboratoire"
"5380","MINK","","Vison"
"5387","HORSES","","Cheveaux"
"5388","HORSES","","Cheveaux"
"5389","CATTLE","","Bétails"
"5403","CATS","","Chats"
"5408","CATTLE","","Bétails"
"5427","CATS","","Chats"
"5427","DOGS","","Chiens"
"5440","CATS","","Chats"
"5440","DOGS","","Chiens"
"5445","CATTLE","","Bétails"
"5446","CATTLE","BEEF HEIFERS","Bétails"
"5446","CATTLE","DAIRY CATTLE","Bétails"
"5447","CATTLE","","Bétails"
"5448","CATTLE","","Bétails"
"5448","DOG OR CAT","","Chien Ou Chat"
"5448","HORSES","","Cheveaux"
"5448","SHEEP","","Mouton"
"5449","CATS","","Chats"
"5449","CATTLE","COWS-NON LACTATING","Bétails"
"5449","DOGS","","Chiens"
"5449","HORSES","","Cheveaux"
"5449","SHEEP","","Mouton"
"5449","SWINE (PIGS)","","Porcs"
"5461","CATTLE","DAIRY CATTLE","Bétails"
"5462","CATTLE","DAIRY CATTLE","Bétails"
"5462","SWINE (PIGS)","","Porcs"
"5463","CATTLE","CALVES","Bétails"
"548","CATS","","Chats"
"548","CATTLE","COWS-LACTATING","Bétails"
"548","DOGS","","Chiens"
"548","GOATS","","Chèvres"
"548","HORSES","","Cheveaux"
"548","SHEEP","","Mouton"
"548","SWINE (PIGS)","","Porcs"
"549","CATS","","Chats"
"549","DOGS","","Chiens"
"550","CATTLE","","Bétails"
"550","SHEEP","","Mouton"
"550","SWINE (PIGS)","","Porcs"
"5500","HORSES","","Cheveaux"
"5501","DOGS","","Chiens"
"5501","HORSES","","Cheveaux"
"552","CATS","","Chats"
"552","CATTLE","","Bétails"
"552","DOGS","","Chiens"
"552","HORSES","","Cheveaux"
"5520","SWINE (PIGS)","PIGLETS","Porcs"
"5532","HORSES","","Cheveaux"
"5539","DOG OR CAT","","Chien Ou Chat"
"555","CATTLE","","Bétails"
"555","DOG OR CAT","","Chien Ou Chat"
"555","GOATS","","Chèvres"
"555","HORSES","","Cheveaux"
"555","SHEEP","","Mouton"
"555","SWINE (PIGS)","","Porcs"
"5553","CATTLE","DAIRY CATTLE","Bétails"
"556","CATS","","Chats"
"556","DOGS","","Chiens"
"5564","CATTLE","BEEF CATTLE","Bétails"
"5564","CATTLE","BULLS","Bétails"
"5564","CATTLE","CALVES","Bétails"
"5564","CATTLE","COWS-DRY","Bétails"
"5564","CATTLE","REPLACEMENT HEIFERS","Bétails"
"5564","SHEEP","LAMB","Mouton"
"5564","SWINE (PIGS)","PIGLETS","Porcs"
"5565","SWINE (PIGS)","PIGLETS","Porcs"
"5566","POULTRY","","Volaille"
"5573","CATTLE","","Bétails"
"5574","CATTLE","","Bétails"
"5583","CATTLE","","Bétails"
"5593","CATTLE","","Bétails"
"5593","HORSES","","Cheveaux"
"5593","SHEEP","","Mouton"
"5593","SWINE (PIGS)","","Porcs"
"5594","HORSES","","Cheveaux"
