"10","N05CA06","SECOBARBITAL","28:24.04","BARBITURATES","",""
"65979","A11EA","VITAMIN B-COMPLEX, PLAIN","88:08.00","VITAMIN B COMPLEX","",""
"6598","D08AE04","TRICLOSAN","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"65986","A12AX","CALCIUM, COMBINATIONS WITH VITAMIN D AND/OR OTHER DRUGS","88:28.01*","VITAMINS & MINERALS","",""
"65989","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS","",""
"6599","A11EB","VITAMIN B-COMPLEX WITH VITAMIN C","88:08.00","VITAMIN B COMPLEX","",""
"6599","A11EB","VITAMIN B-COMPLEX WITH VITAMIN C","88:12.00","VITAMIN C","",""
"65999","D08AE05","CHLOROXYLENOL","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"660","A02AD01","ORDINARY SALT COMBINATIONS","56:04.00","ANTACIDS AND ADSORBENTS","",""
"6600","R01AA07","XYLOMETAZOLINE","52:32.00","VASOCONSTRICTORS","",""
"66004","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"66008","A11GB01","ASCORBIC ACID (VIT C) AND CALCIUM","88:28.01*","VITAMINS & MINERALS","",""
"66010","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"66011","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"66015","R05X","Other cold preparations","48:01.00*","OTHER COLD AND COUGH PREPARATIONS","",""
"6602","B05XA01","POTASSIUM CHLORIDE","40:12.00","REPLACEMENT PREPARATIONS","",""
"66020","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"66021","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION","",""
"66022","D08AX08","ETHANOL","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"66023","D08AE05","CHLOROXYLENOL","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"66024","D08AX08","ETHANOL","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"66025","D08AE04","TRICLOSAN","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"6603","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"66032","C01AA05","DIGOXIN","24:04.08","CARDIOTONIC AGENTS","",""
"66033","C01AA05","DIGOXIN","24:04.08","CARDIOTONIC AGENTS","",""
"66034","C01AA05","DIGOXIN","24:04.08","CARDIOTONIC AGENTS","",""
"66038","A02BA03","FAMOTIDINE","56:28.12","HISTAMINE H2-ANTAGONISTS","",""
"66039","A02BA03","FAMOTIDINE","56:28.12","HISTAMINE H2-ANTAGONISTS","",""
"66041","D08AE04","TRICLOSAN","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"6606","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION","",""
"6607","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION","",""
"66070","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"66072","N05AD01","HALOPERIDOL","28:16.08.08","BUTYROPHENONES","",""
"66074","N05AD01","HALOPERIDOL","28:16.08.08","BUTYROPHENONES","",""
"6608","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION","",""
"66085","A09AA02","MULTIENZYMES (LIPASE, PROTEASE ETC)","56:16.00","DIGESTANTS","",""
"66087","D11AX01","MINOXIDIL, TOPICAL","84:92.00","MISC. SKIN AND MUCOUS MEMBRANE AGENTS","",""
"66088","D11AX01","MINOXIDIL, TOPICAL","84:92.00","MISC. SKIN AND MUCOUS MEMBRANE AGENTS","",""
"66089","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"6609","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION","",""
"661","A02AD01","ORDINARY SALT COMBINATIONS","56:04.00","ANTACIDS AND ADSORBENTS","",""
"6610","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION","",""
"66101","H02AB07","PREDNISONE","68:04.00","ADRENALS","",""
"66102","C10AB04","GEMFIBROZIL","24:06.06","FRIBIC ACID DERIVATIVES","",""
"66103","N06AX05","TRAZODONE","28:16.04.24","SEROTONIN MODULATORS","",""
"66104","N06AX05","TRAZODONE","28:16.04.24","SEROTONIN MODULATORS","",""
"66106","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"66107","N02AJ18","OXYCODONE AND ACETYLSALICYLIC ACID","28:08.04.24","SALICYLATES","",""
"66107","N02AJ18","OXYCODONE AND ACETYLSALICYLIC ACID","28:08.08","OPIATE AGONISTS","",""
"66113","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"66114","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"66115","R05X","Other cold preparations","48:01.00*","OTHER COLD AND COUGH PREPARATIONS","",""
"66116","A12CX","OTHER MINERAL PRODUCTS","88:29.00*","MINERALS","",""
"66120","M01AE01","IBUPROFEN","28:08.04.92","OTHER NONSTEROIDAL ANTIIMFLAMMATORY AGENTS","",""
"66121","J01FF01","CLINDAMYCIN","08:12.28.20","LINCOMYCINS","",""
"66122","J01FF01","CLINDAMYCIN","08:12.28.20","LINCOMYCINS","",""
"66123","N02CA01","DIHYDROERGOTAMINE","12:16.00","SYMPATHOLYTIC (ADRENERGIC BLOCKING) AGENTS","",""
"66124","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"6613","","","88:28.01*","VITAMINS & MINERALS","",""
"66130","D02AB","ZINC PRODUCTS","84:24.12","BASIC OINTMENTS AND PROTECTANTS","",""
"66134","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION","",""
"66138","D08AE04","TRICLOSAN","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"6614","A12AX","CALCIUM, COMBINATIONS WITH VITAMIN D AND/OR OTHER DRUGS","88:28.01*","VITAMINS & MINERALS","",""
"6615","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C","",""
"66152","G03GA06","FOLLITROPIN BETA","68:18.00","GONADOTROPINS AND ANTIGONADOTROPINS","",""
"6617","D08AE04","TRICLOSAN","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"66174","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"66175","D11AX12","PYRITHIONE ZINC","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"66176","N02CA01","DIHYDROERGOTAMINE","12:16.00","SYMPATHOLYTIC (ADRENERGIC BLOCKING) AGENTS","",""
"6618","D08AX04","TOSYLCHLORAMIDE SODIUM","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"66186","A02BC01","OMEPRAZOLE","56:28.36","PROTON-PUMP INHIBITORS","",""
"66187","A02BC01","OMEPRAZOLE","56:28.36","PROTON-PUMP INHIBITORS","",""
"66191","L01DB09","VALRUBICIN","10:00.00","ANTINEOPLASTIC AGENTS","",""
"662","N02AC04","DEXTROPROPOXYPHENE","28:08.08","OPIATE AGONISTS","",""
"66223","S01CA03","HYDROCORTISONE AND ANTIINFECTIVES","52:04.04","ANTIBACTERIALS","",""
"66223","S01CA03","HYDROCORTISONE AND ANTIINFECTIVES","52:08.08","CORTICOSTEROIDS","",""
"66225","A11JC","VITAMINS, OTHER COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"66227","A01AA02","SODIUM MONOFLUOROPHOSPHATE","34:00.00","DENTAL AGENTS","",""
"66228","B02BD02","COAGULATION FACTOR VIII","20:28.16","HEMOSTATICS","",""
"66229","B02BD02","COAGULATION FACTOR VIII","20:28.16","HEMOSTATICS","",""
"66230","B02BD02","COAGULATION FACTOR VIII","20:28.16","HEMOSTATICS","",""
"66239","D04AX","OTHER ANTIPRURITICS","84:08.00","ANTIPRURITICS AND LOCAL ANESTHETICS","",""
"6624","A11EA","VITAMIN B-COMPLEX, PLAIN","88:08.00","VITAMIN B COMPLEX","",""
"66246","D01BA02","TERBINAFINE","08:14.04","ALLYLAMINES","",""
"66249","M01AE02","NAPROXEN","28:08.04.92","OTHER NONSTEROIDAL ANTIIMFLAMMATORY AGENTS","",""
"6625","A11EA","VITAMIN B-COMPLEX, PLAIN","88:08.00","VITAMIN B COMPLEX","",""
"66250","M01AE02","NAPROXEN","28:08.04.92","OTHER NONSTEROIDAL ANTIIMFLAMMATORY AGENTS","",""
"66254","V07AY","OTHER NON-THERAPEUTIC AUXILIARY PRODUCTS","34:00.00","DENTAL AGENTS","",""
"66258","A11HA03","TOCOPHEROL (VIT E)","88:20.00","VITAMIN E","",""
"66266","M05BA07","RISEDRONIC ACID","92:24.00","BONE RESORPTION INHIBITORS","",""
"66267","N06AB06","SERTRALINE","28:16.04.20","SELECTIVE-SEROTONIN REUPTAKE INHIBITORS","",""
"66268","N06AB06","SERTRALINE","28:16.04.20","SELECTIVE-SEROTONIN REUPTAKE INHIBITORS","",""
"66269","N06AB06","SERTRALINE","28:16.04.20","SELECTIVE-SEROTONIN REUPTAKE INHIBITORS","",""
"6627","V07AC","BLOOD TRANSFUSION, AUXILIARY PRODUCTS","92:00.00","MISCELLANEOUS THERAPEUTIC AGENTS","",""
"66272","D11AX12","PYRITHIONE ZINC","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"66273","D11AA","ANTIHIDROTICS","84:12.00","ASTRINGENTS AND DEODORANTS","",""
"66279","G03FA01","NORETHISTERONE AND ESTROGEN","68:12.00","CONTRACEPTIVES","",""
"6628","D08AE04","TRICLOSAN","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"66280","V03AN01","OXYGEN","92:00.00","MISCELLANEOUS THERAPEUTIC AGENTS","",""
"66281","V03AN01","OXYGEN","92:00.00","MISCELLANEOUS THERAPEUTIC AGENTS","",""
"66285","R05DA20","COMBINATIONS","48:08.00","ANTITUSSIVES","",""
"6629","D08AE04","TRICLOSAN","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"66294","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS","",""
"66295","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"66296","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"66297","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"66298","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"663","J06AA04","BOTULINUM ANTITOXIN","80:04.00","SERUMS","",""
"6630","D08AE04","TRICLOSAN","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"66300","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION","",""
"66301","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"66302","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"66306","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"66307","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"6631","D08AE04","TRICLOSAN","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"66310","D02BA","PROTECTIVES AGAINST UV-RADIATION FOR TOPICAL USE","84:80.00","SUNSCREEN AGENTS","",""
"66311","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"66312","A11BA","MULTIVITAMINS, PLAIN","88:28.00","MULTIVITAMIN PREPARATIONS","",""
"66315","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"66316","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"66317","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"66318","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"6632","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C","",""
"66322","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"6633","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"66339","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"6634","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"66340","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"66344","A10BG03","PIOGLITAZONE","68:20.28","THIAZOLIDINEDIONES","",""
"66345","A10BG03","PIOGLITAZONE","68:20.28","THIAZOLIDINEDIONES","",""
"66346","A10BG03","PIOGLITAZONE","68:20.28","THIAZOLIDINEDIONES","",""
"66348","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","48:08.00","ANTITUSSIVES","",""
"6635","","","88:12.00","VITAMIN C","",""
"66352","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS","",""
"66353","B03BA01","CYANOCOBALAMIN","88:08.00","VITAMIN B COMPLEX","",""
"66354","A12CX","OTHER MINERAL PRODUCTS","88:29.00*","MINERALS","",""
"66356","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"66358","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"6636","","","88:29.00*","MINERALS","",""
"66360","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"66361","R05DA20","COMBINATIONS","04:04.20","PROPYLAMINE DERIVATIVES","",""
"66361","R05DA20","COMBINATIONS","48:08.00","ANTITUSSIVES","",""
"66362","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"66379","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"6638","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"66380","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"66391","A03AX13","SILICONES","56:10.00","ANTIFLATULENTS","",""
"66392","C01BD01","AMIODARONE","24:04.04.20","CLASS III ANTIARRYTHMICS","",""
"66393","D11AA","ANTIHIDROTICS","84:12.00","ASTRINGENTS AND DEODORANTS","",""
"66395","","","92:01.00*","HERBS AND NATURAL PRODUCTS","",""
"66396","D11AA","ANTIHIDROTICS","84:12.00","ASTRINGENTS AND DEODORANTS","",""
"66397","D11AA","ANTIHIDROTICS","84:12.00","ASTRINGENTS AND DEODORANTS","",""
"664","J06AA04","BOTULINUM ANTITOXIN","80:04.00","SERUMS","",""
"6640","A07CA","ORAL REHYDRATION SALT FORMULATIONS","40:12.00","REPLACEMENT PREPARATIONS","",""
"66408","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"6641","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"66410","C01EB09","UBIDECARENONE","88:30.00*","OTHER NUTRITIONAL AGENTS","",""
"66412","N05AD01","HALOPERIDOL","28:16.08.08","BUTYROPHENONES","",""
"66416","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C","",""
"6642","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"66421","R03CA02","EPHEDRINE","92:01.00*","HERBS AND NATURAL PRODUCTS","",""
"66426","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"66427","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C","",""
"66428","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"66431","A12AX","CALCIUM, COMBINATIONS WITH VITAMIN D AND/OR OTHER DRUGS","88:28.01*","VITAMINS & MINERALS","",""
"66435","N05CD08","MIDAZOLAM","28:24.08","BENZODIAZEPINES","",""
"66436","N05CD08","MIDAZOLAM","28:24.08","BENZODIAZEPINES","",""
"66439","J01DC02","CEFUROXIME","08:12.06.08","SECOND GENERATION CEPHALOSPORINS","",""
"6644","A01AD","OTHER AGENTS FOR LOCAL ORAL TREATMENT","34:00.00","DENTAL AGENTS","",""
"66440","J01DC02","CEFUROXIME","08:12.06.08","SECOND GENERATION CEPHALOSPORINS","",""
"66450","J07AP02","TYPHOID, INACTIVATED, WHOLE CELL","80:12.00","VACCINES","",""
"66482","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","48:08.00","ANTITUSSIVES","",""
"66483","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","04:04.04","ETHANOLAMINE DERIVATIVES","",""
"66483","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","28:08.92","MISCELLANEOUS ANALGESICS AND ANTIPYRETICS","",""
"66486","A01AA01","SODIUM FLUORIDE","34:00.00","DENTAL AGENTS","",""
"6649","A11HA03","TOCOPHEROL (VIT E)","88:20.00","VITAMIN E","",""
"66490","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"66497","A11JC","VITAMINS, OTHER COMBINATIONS","88:20.00","VITAMIN E","",""
"66497","A11JC","VITAMINS, OTHER COMBINATIONS","88:30.00*","OTHER NUTRITIONAL AGENTS","",""
"66498","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"665","J07AE01","CHOLERA, INACTIVATED, WHOLE CELL","80:12.00","VACCINES","",""
"6650","A11HA03","TOCOPHEROL (VIT E)","88:20.00","VITAMIN E","",""
"66512","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"66513","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"66514","C09AA03","LISINOPRIL","24:32.04","ANGIOTENSIN-CONVERTING ENZYME INHIBITORS","",""
"66515","C09AA03","LISINOPRIL","24:32.04","ANGIOTENSIN-CONVERTING ENZYME INHIBITORS","",""
"66516","C09AA03","LISINOPRIL","24:32.04","ANGIOTENSIN-CONVERTING ENZYME INHIBITORS","",""
"66517","C09AA03","LISINOPRIL","24:32.04","ANGIOTENSIN-CONVERTING ENZYME INHIBITORS","",""
"66529","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"66532","M05BA08","ZOLEDRONIC ACID","92:24.00","BONE RESORPTION INHIBITORS","",""
"66534","J07AP03","TYPHOID, PURIFIED POLYSACCHARIDE ANTIGEN","80:12.00","VACCINES","",""
"66538","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"66540","C09AA09","FOSINOPRIL","24:32.04","ANGIOTENSIN-CONVERTING ENZYME INHIBITORS","",""
"66541","C09AA09","FOSINOPRIL","24:32.04","ANGIOTENSIN-CONVERTING ENZYME INHIBITORS","",""
"66544","N03AG01","VALPROIC ACID","28:12.92","MISCELLANEOUS ANTICONVULSANTS","",""
"66546","D07AC04","FLUOCINOLONE ACETONIDE","84:06.00","ANTI-INFLAMMATORY AGENTS","",""
"6655","A12AA04","CALCIUM CARBONATE","40:12.00","REPLACEMENT PREPARATIONS","",""
"66551","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS","",""
"66552","A09AA02","MULTIENZYMES (LIPASE, PROTEASE ETC)","56:16.00","DIGESTANTS","",""
"66558","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"66562","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"66563","A12AX","CALCIUM, COMBINATIONS WITH VITAMIN D AND/OR OTHER DRUGS","88:28.01*","VITAMINS & MINERALS","",""
"66567","D11AX12","PYRITHIONE ZINC","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"66570","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"66583","A11JC","VITAMINS, OTHER COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"66584","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS","",""
"66585","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"66586","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"66587","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"66588","A11JC","VITAMINS, OTHER COMBINATIONS","88:28.00","MULTIVITAMIN PREPARATIONS","",""
"6659","A11CC05","COLECALCIFEROL","88:16.00","VITAMIN D","",""
"66593","D02AX","OTHER EMOLLIENTS AND PROTECTIVES","84:24.12","BASIC OINTMENTS AND PROTECTANTS","",""
"66594","A02AC01","CALCIUM CARBONATE","56:04.00","ANTACIDS AND ADSORBENTS","",""
"66598","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"66599","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"666","J07AF01","DIPHTHERIA TOXOID","80:08.00","TOXOIDS","",""
"66601","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS","",""
"66602","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"66603","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"66605","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"66608","M01AC06","MELOXICAM","28:08.04.92","OTHER NONSTEROIDAL ANTIIMFLAMMATORY AGENTS","",""
"66609","M01AC06","MELOXICAM","28:08.04.92","OTHER NONSTEROIDAL ANTIIMFLAMMATORY AGENTS","",""
"66611","C09AA01","CAPTOPRIL","24:32.04","ANGIOTENSIN-CONVERTING ENZYME INHIBITORS","",""
"66612","C09AA01","CAPTOPRIL","24:32.04","ANGIOTENSIN-CONVERTING ENZYME INHIBITORS","",""
"66613","C09AA01","CAPTOPRIL","24:32.04","ANGIOTENSIN-CONVERTING ENZYME INHIBITORS","",""
"66614","C09AA01","CAPTOPRIL","24:32.04","ANGIOTENSIN-CONVERTING ENZYME INHIBITORS","",""
"66615","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"66616","A10BA02","METFORMIN","68:20.04","BIGUANIDES","",""
"66617","A10BA02","METFORMIN","68:20.04","BIGUANIDES","",""
"66618","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C","",""
"6662","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"66623","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS","",""
"66624","J07CA","BACTERIAL AND VIRAL VACCINES, COMBINED","80:08.00","TOXOIDS","",""
"66624","J07CA","BACTERIAL AND VIRAL VACCINES, COMBINED","80:12.00","VACCINES","",""
"66626","D08AX","OTHER ANTISEPTICS AND DISINFECTANTS","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"66627","D08AE05","CHLOROXYLENOL","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"66629","D08AE05","CHLOROXYLENOL","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"6663","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"66630","D08AE05","CHLOROXYLENOL","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"6665","","","92:01.00*","HERBS AND NATURAL PRODUCTS","",""
"66654","C09BA02","ENALAPRIL AND DIURETICS","24:32.04","ANGIOTENSIN-CONVERTING ENZYME INHIBITORS","",""
"66654","C09BA02","ENALAPRIL AND DIURETICS","40:28.20","THIAZIDE DIURETICS","",""
"66655","N02AA01","MORPHINE","28:08.08","OPIATE AGONISTS","",""
"66656","N02AA01","MORPHINE","28:08.08","OPIATE AGONISTS","",""
"66657","N02AA01","MORPHINE","28:08.08","OPIATE AGONISTS","",""
"66658","N02AA01","MORPHINE","28:08.08","OPIATE AGONISTS","",""
"66659","N02AA01","MORPHINE","28:08.08","OPIATE AGONISTS","",""
"66660","N02AA01","MORPHINE","28:08.08","OPIATE AGONISTS","",""
"66664","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"66665","D02BA02","OCTYL METHOXYCINNAMATE","84:80.00","SUNSCREEN AGENTS","",""
"66670","D02BA","PROTECTIVES AGAINST UV-RADIATION FOR TOPICAL USE","84:80.00","SUNSCREEN AGENTS","",""
"66673","D08AX08","ETHANOL","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"66674","D08AE04","TRICLOSAN","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"66675","D08AE04","TRICLOSAN","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"66678","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"6668","M01AE11","TIAPROFENIC ACID","28:08.04.92","OTHER NONSTEROIDAL ANTIIMFLAMMATORY AGENTS","",""
